Usia;Kelompok
30        ;Dewasa              
12        ;Remaja              
21        ;Pemuda              
44        ;Dewasa              
13        ;Remaja              
35        ;Dewasa              
37        ;Dewasa              
6         ;Kanak-kanak         
52        ;Dewasa              
40        ;Dewasa              
27        ;Dewasa              
39        ;Dewasa              
36        ;Dewasa              
34        ;Dewasa              
24        ;Dewasa              
3         ;Balita              
21        ;Pemuda              
27        ;Dewasa              
37        ;Dewasa              
55        ;Tua                 
6         ;Kanak-kanak         
63        ;Tua                 
73        ;Tua                 
48        ;Dewasa              
46        ;Dewasa              
26        ;Dewasa              
76        ;Tua                 
73        ;Tua                 
66        ;Tua                 
63        ;Tua                 
17        ;Pemuda              
45        ;Dewasa              
62        ;Tua                 
49        ;Dewasa              
10        ;Kanak-kanak         
39        ;Dewasa              
56        ;Tua                 
40        ;Dewasa              
66        ;Tua                 
45        ;Dewasa              
28        ;Dewasa              
21        ;Pemuda              
46        ;Dewasa              
52        ;Dewasa              
44        ;Dewasa              
25        ;Dewasa              
49        ;Dewasa              
31        ;Dewasa              
64        ;Tua                 
68        ;Tua                 
29        ;Dewasa              
66        ;Tua                 
62        ;Tua                 
73        ;Tua                 
15        ;Remaja              
1         ;Balita              
12        ;Remaja              
36        ;Dewasa              
11        ;Kanak-kanak         
69        ;Tua                 
50        ;Dewasa              
21        ;Pemuda              
43        ;Dewasa              
41        ;Dewasa              
3         ;Balita              
48        ;Dewasa              
46        ;Dewasa              
78        ;Tua                 
6         ;Kanak-kanak         
66        ;Tua                 
17        ;Pemuda              
64        ;Tua                 
33        ;Dewasa              
55        ;Tua                 
59        ;Tua                 
73        ;Tua                 
34        ;Dewasa              
19        ;Pemuda              
62        ;Tua                 
70        ;Tua                 
14        ;Remaja              
78        ;Tua                 
16        ;Remaja              
42        ;Dewasa              
3         ;Balita              
7         ;Kanak-kanak         
48        ;Dewasa              
55        ;Tua                 
15        ;Remaja              
15        ;Remaja              
79        ;Tua                 
68        ;Tua                 
71        ;Tua                 
42        ;Dewasa              
10        ;Kanak-kanak         
12        ;Remaja              
42        ;Dewasa              
24        ;Dewasa              
62        ;Tua                 
34        ;Dewasa              
